****************************************
Report : Time Based Power
	-net_power
	-hierarchy
	-sort_by net_switching_power
	-power_greater_than       0
	-nosplit
Design : netlist_1
Version: Q-2019.12-SP1
Date   : Wed Aug 28 21:47:45 2024
****************************************



  Attributes
  ----------
      a  -  Switching activity information / Switching power information annotated on net
      p  -  Propagated switching activity information on net
      d  -  Default switching activity used on net
      u  -  Net switching activity uninitialized
      m  -  Net is driven by multiple pins
      b  -  Net is a primary input (boundary net)

		Toggle rates reported with respect to time unit 1ns
--------------------------------------------------------------------------------
                                  Total      Static   Toggle   Switching
Net                         Vdd   Net Load   Prob.    Rate     Power      Attrs
clknet_0_net275             1.80    0.021    -1.000   0.0000      0.0000  a
clknet_0_net282             1.80    0.021    -1.000   0.0000      0.0000  a
clknet_0_net300             1.80    0.022    -1.000   0.0000      0.0000  a
clknet_0_net302             1.80    0.020    -1.000   0.0000      0.0000  a
clknet_0_net303             1.80    0.021    -1.000   0.0000      0.0000  a
clknet_0_net332             1.80    0.019    0.000    0.0000      0.0000  a
clknet_0_net369             1.80    0.021    -1.000   0.0000      0.0000  a
clknet_0_net386             1.80    0.022    -1.000   0.0000      0.0000  a
clknet_0_net396             1.80    0.021    -1.000   0.0000      0.0000  a
clknet_0_net397             1.80    0.019    -1.000   0.0000      0.0000  a
clknet_0_net401             1.80    0.019    -1.000   0.0000      0.0000  a
clknet_0_net403             1.80    0.020    -1.000   0.0000      0.0000  a
clknet_0_net423             1.80    0.020    -1.000   0.0000      0.0000  a
clknet_0_net425             1.80    0.021    -1.000   0.0000      0.0000  a
clknet_0_net433             1.80    0.018    -1.000   0.0000      0.0000  a
clknet_0_net461             1.80    0.012    -1.000   0.0000      0.0000  a
clknet_0_net462             1.80    0.021    -1.000   0.0000      0.0000  a
clknet_0_net465             1.80    0.023    -1.000   0.0000      0.0000  a
clknet_0_net469             1.80    0.020    -1.000   0.0000      0.0000  a
clknet_0_net471             1.80    0.020    -1.000   0.0000      0.0000  a
clknet_0_net474             1.80    0.022    -1.000   0.0000      0.0000  a
clknet_0_net475             1.80    0.020    -1.000   0.0000      0.0000  a
clknet_0_net490             1.80    0.022    -1.000   0.0000      0.0000  a
clknet_0_net493             1.80    0.020    -1.000   0.0000      0.0000  a
clknet_0_net498             1.80    0.022    -1.000   0.0000      0.0000  a
