****************************************
Report : Time Based Power
	-net_power
	-hierarchy
	-sort_by net_switching_power
	-power_greater_than       0
	-nosplit
Design : netlist_1
Version: Q-2019.12-SP1
Date   : Wed Aug 28 12:17:03 2024
****************************************



  Attributes
  ----------
      a  -  Switching activity information / Switching power information annotated on net
      p  -  Propagated switching activity information on net
      d  -  Default switching activity used on net
      u  -  Net switching activity uninitialized
      m  -  Net is driven by multiple pins
      b  -  Net is a primary input (boundary net)

		Toggle rates reported with respect to time unit 1ns
--------------------------------------------------------------------------------
                                  Total      Static   Toggle   Switching
Net                         Vdd   Net Load   Prob.    Rate     Power      Attrs
net311                      1.80    0.011    0.000    0.75e-4  1.379e-09  a
net196                      1.80    0.006    0.520    0.0002   1.372e-09  a
net1076                     1.80    0.042    0.981    0.20e-4  1.355e-09  a
net210                      1.80    0.004    0.856    0.0002   1.354e-09  a
net904                      1.80    0.005    0.442    0.0002   1.345e-09  a
net898                      1.80    0.005    0.505    0.0002   1.342e-09  a
clknet_1_1__leaf_net331     1.80    0.017    0.000    0.48e-4  1.320e-09  a
net258                      1.80    0.012    0.431    0.70e-4  1.316e-09  a
net912                      1.80    0.012    0.462    0.67e-4  1.311e-09  a
net863                      1.80    0.004    0.497    0.0002   1.265e-09  a
clknet_1_0__leaf_net332     1.80    0.017    0.000    0.46e-4  1.262e-09  a
net1005                     1.80    0.110    0.992    0.70e-5  1.246e-09  a
net1086                     1.80    0.037    0.422    0.20e-4  1.245e-09  a
net202                      1.80    0.032    0.971    0.24e-4  1.245e-09  a
net139                      1.80    0.006    0.127    0.0001   1.222e-09  a
net177                      1.80    0.009    0.064    0.83e-4  1.222e-09  a
net231                      1.80    0.018    0.000    0.42e-4  1.216e-09  a
net331                      1.80    0.015    0.000    0.48e-4  1.214e-09  a
net647                      1.80    0.006    0.127    0.0001   1.189e-09  a
net1066                     1.80    0.004    0.723    0.0002   1.183e-09  a
clknet_1_0__leaf_net330     1.80    0.030    0.000    0.23e-4  1.159e-09  a
net93                       1.80    0.023    0.945    0.31e-4  1.152e-09  a
net1067                     1.80    0.004    0.723    0.0002   1.125e-09  a
net1108                     1.80    0.004    0.746    0.0002   1.122e-09  a
net129                      1.80    0.029    0.047    0.24e-4  1.120e-09  a
net127                      1.80    0.027    0.050    0.25e-4  1.057e-09  a
net919                      1.80    0.009    0.559    0.69e-4  1.048e-09  a
net307                      1.80    0.006    0.415    0.0001   1.025e-09  a
net96                       1.80    0.045    0.989    0.14e-4  1.018e-09  a
net104                      1.80    0.052    0.996    0.12e-4  1.017e-09  a
net530                      1.80    0.012    0.000    0.49e-4  9.956e-10  a
clknet_1_0__leaf_net369     1.80    0.008    0.458    0.78e-4  9.884e-10  a
net332                      1.80    0.013    0.000    0.46e-4  9.842e-10  a
net446                      1.80    0.008    0.000    0.73e-4  9.792e-10  a
net18                       1.80    0.029    0.016    0.20e-4  9.460e-10  a
net164                      1.80    0.005    0.676    0.0001   9.229e-10  a
